CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2022,10,84129080,10,399,MG,1,817800,402,402,7584,460,5
2022,1,84314929,10,72,SC,1,927700,2,2,84,0,0
2022,1,73182900,10,628,MG,4,817600,0,0,9,0,0
2022,2,20041000,10,87,SC,1,927800,5417619,5417619,3803113,381380,7455
2022,7,38249981,10,249,RJ,1,717600,129999,129999,305938,4733,0
2022,6,73202010,10,23,RS,4,1017801,30,30,929,229,4
2022,6,85183000,11,160,SP,1,817800,1578567,33574,947910,39422,612
2022,1,42021220,11,160,SP,1,817800,16496,7728,84428,9597,51
2022,3,27101932,10,399,SP,1,817800,4149,4149,16281,14427,57
2022,12,90321090,11,764,RJ,1,717600,1,0,95,0,0
2022,10,73089090,10,386,SC,1,927700,9,9,1882,10,6
2022,6,87082999,11,493,SP,1,817800,871832,128632,1248196,83953,454
2022,7,32042090,10,249,SP,4,817700,75,75,6836,506,0
2022,8,85389090,10,399,MG,1,817800,10436,10436,231724,20627,183
2022,1,84149020,10,386,SP,1,817800,3067,3067,38872,1516,26
2022,2,84833010,11,386,SC,4,817700,585,10,1643,138,0
2022,6,39173290,10,245,SP,4,817700,1,1,56,9,0
2022,6,84439949,10,249,SC,4,927800,2,2,63,17,0
2022,11,40169300,10,767,SC,4,817600,2,2,2606,231,7
2022,5,90279099,10,23,SP,4,817700,1096,1096,669361,21109,228
2022,1,85319000,10,764,SP,4,817600,2,2,3875,399,1
2022,8,85371020,11,23,SP,4,817700,570,614,512611,5639,527
2022,5,84123900,11,23,RS,4,1017801,1,5,2167,35,2
2022,9,85044090,11,573,SC,4,817600,21,16,16501,790,97
2022,7,85049040,10,776,SP,4,817700,50,50,3644,472,0
2022,5,73209000,10,628,SP,4,817600,0,0,265,7,0
2022,6,85176277,11,161,SP,4,817700,143400,426,904744,10023,461
2022,2,84818099,11,493,SP,4,817600,8671,6578,660683,51479,480
2022,1,83119000,10,399,SP,4,817700,273,273,29369,6229,28
2022,9,38229000,10,245,SP,4,817600,120,120,51534,2334,17
2022,1,40169300,10,249,CE,4,317901,25,25,89012,594,56
2022,6,90049020,11,249,SP,4,817700,21,6,1211,120,1
2022,5,85334011,11,399,AM,4,227700,3420000,51,20940,1624,8
2022,9,40169990,10,361,SP,1,817800,31257,31257,226584,43191,219
2022,1,84099915,11,23,SP,1,817800,9412,20646,157562,1128,105
2022,4,73269090,10,160,ES,1,817800,2998,2998,15822,2883,7
2022,6,85444200,10,23,RJ,4,717700,28,28,9702,2138,3
2022,2,84689010,10,160,RJ,1,717600,11,11,577,9,56
2022,3,85366990,11,249,RS,1,817800,192,4,4071,2,3
2022,2,59100000,10,23,SP,4,817700,66,66,10459,1321,33
2022,2,39199090,10,399,SP,1,817800,8369,8369,120548,12147,166
2022,10,84099999,10,573,SP,1,817800,107707,107707,1180674,21338,329
2022,8,85413019,11,249,SC,1,927700,1,0,130,0,0
2022,10,84182100,11,160,SC,1,927700,366,7143,24348,4244,31
2022,10,61012000,11,111,ES,4,817600,60,41,2300,414,2
2022,10,40093100,10,493,SP,4,817700,1,1,56,10,0
2022,2,84842000,10,249,SP,4,817700,1661,1661,267259,7895,288
2022,1,84833090,11,603,SP,4,817600,19,1,2183,141,1
2022,12,84399100,10,361,SP,1,817800,389,389,7772,570,103
2022,7,85229000,10,249,SP,4,817600,1,1,11763,12,7
2022,8,29145090,10,275,SP,4,817600,50,50,1656,1589,0
2022,8,76042100,10,386,PR,1,917800,7094,7094,43103,1395,98
2022,1,84834090,11,365,AM,1,227600,16040,2304,52411,2889,32
2022,12,73071920,10,361,RS,1,1017700,60,60,378,26,0
2022,8,73182900,10,361,SP,1,817800,20528,20528,98695,8676,151
2022,12,85123000,11,160,AM,4,227700,8150,91,5983,2561,2
2022,2,64069090,10,160,MS,1,917800,24478,24478,50609,9915,20
2022,5,84821090,11,72,SC,4,817600,21,4,271,26,1
2022,4,84314923,10,190,RJ,1,817800,948,948,2751,928,1
2022,10,39191010,10,399,RS,1,1017700,886,886,18987,604,19
2022,9,20021000,10,63,RJ,7,917500,21504,21504,17920,2404,54
2022,6,73181500,10,190,GO,1,817800,6853,6853,45340,4678,0
2022,2,85365090,11,249,GO,1,817800,635,43,13517,15,6
2022,12,84671190,11,161,SP,1,817800,879,2089,52463,813,63
2022,7,84807100,11,149,PE,4,417901,201,248,105910,2013,196
2022,9,84141000,11,160,SC,1,927800,8732,5447,61937,5220,83
2022,12,73239300,10,607,SC,1,927800,11,11,100,10,0
2022,4,39199090,10,160,SC,1,927800,64162,64162,313449,28284,705
2022,4,85472090,10,386,PE,4,417901,19,19,2943,346,4
2022,2,84832000,11,249,RJ,4,717700,5,52,3135,565,0
2022,1,84818099,11,386,MT,1,917800,95,9,525,1,0
2022,10,94059900,10,386,SP,4,817600,143,143,7699,1254,50
2022,8,84149031,11,764,SP,1,817800,3,2,211,2,0
2022,1,73182400,10,232,SP,4,817700,0,0,142,0,0
2022,2,85340033,11,160,SC,4,817700,30797,897,33016,9938,8
2022,5,73181500,10,361,RJ,1,817800,2338,2338,8392,2157,4
2022,10,40161010,10,249,RS,4,1017801,5,5,366,74,0
2022,4,87089412,11,249,RS,4,817700,4,0,57,2,0
2022,6,40092290,10,271,BA,4,817600,0,0,28,0,0
2022,1,90118010,11,160,SC,4,817600,93,234,47706,2551,145
2022,7,20021000,10,386,PR,1,917800,437857,437857,356380,34561,469
2022,12,63071000,10,493,SP,1,817800,0,0,7,0,0
2022,7,71131900,10,249,SP,4,817600,3,3,698750,5922,0
2022,2,58089000,10,160,SP,1,817800,4012,4012,40155,4250,30
2022,3,84798911,11,160,SP,4,817600,2,90,670,1215,0
2022,6,85365090,11,386,SP,4,817700,576,60,23898,1116,25
2022,10,84099959,11,87,SP,4,817700,2,35,341,443,0
2022,3,73181600,10,249,SP,4,817600,9424,9424,306653,58802,396
2022,6,48237000,10,160,GO,4,817600,2,2,345,50,0
2022,3,87149200,10,160,SP,1,817800,7896,7896,8103,3381,0
2022,7,90132000,11,628,SP,4,817700,1,0,715,3,1
2022,3,85235210,11,249,PA,1,817800,12,5,14113,3,7
2022,8,29241929,10,160,SP,4,817700,14,14,453,224,0
2022,5,69091290,10,386,SC,1,927800,188500,188500,375577,19807,362
2022,3,84144090,11,160,SP,1,817800,8,61,1575,74,0
2022,6,85286200,11,858,SC,4,817600,3,27,3986,214,0
2022,8,39232190,10,160,AM,4,227700,45,45,19153,1364,6
2022,6,55121900,10,160,MG,1,817800,17770,17770,87277,7052,0
2022,5,85044090,11,383,SP,1,817800,1,0,239,0,1
2022,1,40169990,10,245,MG,1,717600,53,53,629,13,0
2022,4,76169900,10,361,SC,1,927800,573,573,2189,1304,0
2022,3,39201099,10,63,SP,7,1017500,43099,43099,204371,4107,129
2022,7,84831090,11,399,SP,4,817600,191,34,10494,860,9
2022,9,85437099,11,160,SP,4,817700,2684648,1064,565924,23657,192
2022,4,84139190,10,249,RJ,4,717700,2111,2111,176029,19325,67
2022,3,84828000,11,399,MG,1,817800,1,2,179,6,0
2022,9,90318060,11,383,SC,1,927800,230,2295,37548,3271,32
2022,12,87082999,11,190,SP,1,817800,3670383,645740,3001219,464194,986
2022,6,85122022,11,160,SC,1,927700,25053,4501,13736,4711,3
2022,10,29252990,10,160,SP,1,927800,29000,29000,554414,9899,0
2022,11,84818099,11,23,SP,1,817800,29910,6687,371761,2965,159
2022,4,33029019,10,493,RJ,4,717700,375,375,8778,6501,0
2022,3,84212300,11,249,SC,1,927800,52,50,1075,50,0
2022,12,85176259,11,267,SP,4,817600,2,0,3221,3,0
2022,1,84798999,11,160,SP,4,817700,199,465,117010,9685,7
2022,8,88073000,10,275,SP,4,817600,3632,3632,5835728,169182,3346
2022,11,84099130,11,160,PE,1,717600,540,158,702,88,1
2022,9,85389090,10,386,MG,1,717600,168,168,6254,128,5
2022,12,29141990,10,160,SP,4,817700,241,241,16971,12153,13
