CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2022,5,84123110,11,493,RS,4,817600,94,54,3391
2022,8,84179000,10,586,PR,7,917500,258,258,25490
2022,6,85164000,11,586,RJ,7,917500,705,745,11260
2022,5,87089100,11,158,PR,4,817700,1,1,166
2022,1,48041100,10,756,SC,1,927800,710274,710274,465499
2022,11,38089999,10,169,SP,1,817800,78985,78985,172219
2022,12,20052000,10,580,MA,1,317903,28,28,191
2022,1,28444090,10,573,SP,4,817600,744,744,4000
2022,10,61083100,11,239,SC,4,817700,1250,176,5977
2022,6,88073000,10,625,RJ,4,817700,0,0,136
2022,1,73261900,10,337,SP,1,817800,18,18,303
2022,3,2032900,10,580,SC,1,927700,489,489,1978
2022,7,40051090,10,245,RS,1,817800,1500,1500,6970
2022,6,7051100,10,467,SC,1,927502,10,10,26
2022,12,64022000,13,160,CE,4,817600,1380,435,7799
2022,2,8061000,10,434,RS,1,1017700,55,55,213
2022,9,85363090,11,589,SC,1,817800,1,10,7604
2022,7,64039990,13,275,SP,4,817600,19,19,8827
2022,1,19023000,10,573,SP,1,817800,138,138,628
2022,8,8093020,10,741,MA,1,317903,40,40,35
2022,4,90173020,11,735,SP,1,817800,35,4,86
2022,8,90184919,11,345,PR,4,817700,1626,16,1545
2022,7,30049068,10,647,SP,4,817600,12,12,736
2022,5,18063110,10,573,SP,1,817800,3,3,105
2022,5,73181600,10,386,SP,1,817800,914,914,6306
2022,8,17023020,10,169,SP,4,817700,1120,1120,1737
2022,12,39269090,10,63,RS,7,1017503,20269,20269,96417
2022,9,7119000,10,351,SP,1,817800,6,6,19
2022,10,21032090,10,741,BA,1,517800,18,18,24
2022,11,21069090,10,158,SP,7,1017503,248588,248588,384857
2022,12,62042900,11,245,SC,4,817600,3,1,40
2022,3,84099190,10,249,SC,1,817800,2276,1479,90602
2022,9,8055000,10,399,MA,1,317903,10,10,7
2022,10,21023000,10,580,RS,1,1017700,10,10,100
2022,1,84833090,11,628,SP,1,817800,5,70,2198
2022,9,44123900,16,442,PR,1,927800,46,28000,17538
2022,4,84522910,11,63,RS,7,1017500,10,640,26550
2022,7,84137090,11,149,SP,1,817800,4,4936,142448
2022,9,84842000,10,345,MG,1,817800,0,0,27
2022,9,7032090,10,538,ES,1,727600,10,10,52
2022,11,39259090,10,589,SP,1,817800,13029,13029,120790
2022,4,8071900,10,301,CE,1,520100,25,25,49
2022,10,39241000,10,97,RJ,7,147600,2754,2754,51364
2022,4,48052500,10,756,SC,1,927800,94031,94031,50259
2022,1,48025610,10,386,SP,1,817800,1263605,1263605,671933
2022,12,63021000,10,580,SC,1,917800,8,8,50
2022,6,87089990,10,586,RS,7,917500,3013,3013,19494
2022,9,85452000,10,249,SP,4,817600,105,105,40120
2022,1,15021019,10,351,RS,1,1017700,57710,57710,304518
2022,6,39199020,10,589,SP,1,817800,1,1,174
2022,11,44123900,16,611,PR,1,917800,930,474841,298509
2022,9,40169300,10,97,SP,7,147600,2235,2210,111366
2022,9,29153100,10,196,SP,1,817800,145600,145600,236828
2022,5,61012000,11,586,SC,7,917500,19274,4508,82982
2022,11,90183924,11,149,SP,1,817800,166000,1101,40129
2022,2,71171900,10,249,PR,4,817600,80,80,1030
2022,9,87089990,10,576,RS,4,817600,11,11,79
2022,7,7070000,10,476,PA,1,217800,200,200,253
2022,2,63059000,10,628,MG,4,617700,2,2,46
2022,7,84818092,11,586,SC,7,917500,8,2,666
2022,10,87083090,11,169,SP,1,817800,12823,43344,346521
2022,10,2032900,10,244,SC,1,927800,189942,189942,526641
2022,8,39202019,10,317,SP,1,817800,183563,183563,518473
2022,7,38140090,10,586,SP,7,917500,43001,43001,117627
2022,8,8039000,10,580,SC,1,917800,80,80,93
2022,1,96062900,10,580,SP,1,817800,2,1,8
2022,4,42031000,10,845,SP,4,817700,5,5,666
2022,8,94052900,10,249,PR,4,817700,108,108,7178
2022,12,90184999,11,586,PR,7,917500,462,167,4090
2022,10,21033021,10,301,AL,1,440151,1,1,8
2022,12,39269090,10,239,RS,1,1017700,1403,1403,5088
2022,8,87088000,11,63,PR,4,817600,12,42,171
2022,2,82055100,10,623,RS,1,927800,20,20,546
2022,3,87089481,11,493,SP,1,817800,197,556,6315
2022,12,2071400,10,676,SC,1,927800,1621484,1621484,3956120
2022,12,73041900,10,776,MG,1,717800,6618,6394,6374
2022,7,39269040,10,249,SP,1,817800,5269,5269,293815
2022,1,8059000,10,301,MA,1,317903,45,45,56
2022,6,3028990,10,249,BA,4,817600,57358,57358,484544
2022,7,40027000,10,63,RS,7,1017500,21600,21600,87782
2022,10,20058000,10,163,ES,1,727600,6,6,33
2022,4,82029100,10,580,SP,1,817800,3,3,75
2022,11,64039990,13,244,RS,4,817600,1260,1012,40515
2022,1,82055900,10,741,SP,4,817700,64,64,1879
2022,4,29224220,10,580,ES,1,517800,5,5,34
2022,10,85365090,11,158,SP,7,1017500,4032,506,13671
